pitch_mean,volume_mean,speech_rate,silence_ratio,spectral_centroid_mean,emotion
224.83570765056163,0.2339860658072558,0.43144128546111465,0.4889908044712573,1963.013568202811,frustrated
193.08678494144075,0.1836542722675202,0.3220328175004927,0.14446325354492026,1962.1671978370848,calm
232.38442690503462,0.6091441996349094,0.36481545247841485,0.32528135707990025,2986.271088394904,burned_out
276.15149282040124,0.665180581189521,0.503316389603251,0.582288727116068,1307.006028800501,burned_out
188.2923312638332,0.12526891586051364,0.7815514077478878,0.36008333965338063,2252.794620917937,anxious
188.29315215254098,0.8489697969949519,0.6432291860215805,0.6983094123417702,2744.556554164145,frustrated
278.9606407753696,0.14157702692117793,0.6076006355738499,0.4354355709679613,3135.724872711398,energetic
238.37173645764543,0.5330370682408564,0.476093293924873,0.2926972915815721,1797.8012884080194,frustrated
176.52628070325238,0.6672484155607332,0.8590522316596899,0.23206679554285187,2245.7147263601,burned_out
227.12800217929822,0.7967752989968685,0.538209024742315,0.3103123205716971,2284.8801785993232,energetic
176.82911535937689,0.6712695457059423,0.3522556600774629,0.3235199642557305,2097.7408657766455,frustrated
176.71351232148714,0.7413824664558335,0.6702399096706808,0.1412282066343766,1950.577399380347,calm
212.0981135783017,0.37156015403424486,0.3683030360859608,0.3217445196560639,2217.987694750023,anxious
104.33598776711011,0.7518600909972099,0.5071338856810153,0.37854311184353495,733.8769573901574,frustrated
113.75410837434836,0.16409187710774012,0.6044471632306854,0.5336426513432828,2341.0347450313157,frustrated
171.88562353795137,0.8158533248484221,0.8245335148111056,0.4940376908329648,2063.0889518309837,calm
149.35844398327882,0.538073900922989,0.5961279482040712,0.5252593931374926,1888.7625516108674,burned_out
215.7123666297637,0.753838215969995,0.7213552596189986,0.10501820912611426,3023.431097859779,anxious
154.59879622393944,0.46185462761464013,0.8956901033994423,0.23060043974832162,1662.5329906047239,frustrated
129.38481493323542,0.6148621561572201,0.378893471938789,0.49701057303991386,1798.4620054674847,energetic
273.2824384460777,0.5211221287488906,0.46483891531171173,0.3903936209078483,2995.776651102367,frustrated
188.7111849756732,0.6852716174042656,0.5367456453585878,0.10318808540100757,1583.9693475750717,anxious
203.3764102343962,0.16530398562447168,0.5530969071232988,0.5826967854590934,1724.9423585317306,frustrated
128.76259068932717,0.14828166719245103,0.5466126451593275,0.5636857439742025,1926.487288284575,calm
172.78086377374086,0.2976825872081172,0.844566601533933,0.42905149779613755,2420.3672410647746,frustrated
